"HolderAddress","Balance","PendingBalanceUpdate"
"0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81","1000","No"
"0x0091d84d13483ae41f0432ec86b68266bd67b6d5","1000","No"
"0x00a839de7922491683f547a67795204763ff8237","1000","No"
"0x010f2a5568e092d3c780744c8cf1d382b5ec9f6f","1000","No"
"0x014f573ebd655c46aa95fd94469d6a53bc040502","1000","No"
"0x023ce1300bfb73e7cd946dc99c94bcfb5551698e","1000","No"
"0x025376e7e7f161a198fb5fc90a220a553836d11a","1000","No"
"0x035e8a0a57f24fd10d447c6ce44524513dd6e09c","5000","No"
"0x036eff96a00b461bf86cdfb6cf1fbee08e9e3be6","1000","No"
"0x03d813abfba88e76407d09ef92e05f164ac1a985","1000","No"
"0x0434d93484d66fe90d7db9edf83e4f0561d95b24","1000","No"
"0x056590f16d5b314a132bbcfb1283fec5d5c6e670","1000","No"
"0x06e26c5c30c0179c228405dbda41d431a2a0c56f","1000","No"
"0x0709b103d46d71458a71e5d81230dd688809a53d","1000","No"
"0x0846931641992a70d393771b5d9a1ab8ad5b2f28","1000","No"
"0x084d634f80b36fd815effb38092aeb8074c28ebe","3000","No"
"0x087ee66cc7914c20b49ab2a2de3cfe3b08fb18f2","1000","No"
"0x09238a2aa20600e9773990677d17fef91e688523","1000","No"
"0x0a2a3d3c6d4f2d57d307da3e3e99ff8122077da5","1000","No"
"0x0a6417b2d8b6cb55b1751b5a46289972d33e424c","2000","No"
"0x0a690b298f84d12414f5c8db7de1ece5a4605877","1000","No"
"0x0ace88b44c8010c81a6fd133f7d9f47ca79e6b64","1000","No"
"0x0ad0b792a54704dc7b6f85cbb774106d22e814d9","1000","No"
"0x0b7917b62bc98967e06e80efba9abcaccf3d4928","1000","No"
"0x0bd1454fa01dd11bf6646bf8bc17a3e48fda3734","611.7913","No"
"0x0bfbbd04e9265b28f047353c0678f895ff64ac17","1000","No"
"0x0bff973dacfedd352d68224dec0a8fbaddde1af2","1000","No"
"0x0c25fac9b9d2c295187d860a6a1e454eef0f3b27","1000","No"
"0x0db63506473da740f050d1208487696c0f065a7b","1000","No"
